transaction_id,fraud_flag
T000001,0
T000002,1
T000003,0
T000004,0
T000005,0
T000006,0
T000007,0
T000008,0
T000009,0
T000010,1
T000011,0
T000012,0
T000013,0
T000014,0
T000015,1
T000016,0
T000017,0
T000018,0
T000019,1
T000020,0
T000021,1
T000022,0
T000023,0
T000024,1
T000025,1
T000026,0
T000027,1
T000028,0
T000029,1
T000030,0
T000031,0
T000032,0
T000033,0
T000034,0
T000035,0
T000036,1
T000037,0
T000038,1
T000039,0
T000040,0
T000041,0
T000042,1
T000043,0
T000044,0
T000045,1
T000046,0
T000047,0
T000048,1
T000049,1
T000050,1
T000051,0
T000052,0
T000053,0
T000054,0
T000055,0
T000056,1
T000057,1
T000058,0
T000059,0
T000060,0
T000061,0
T000062,1
T000063,0
T000064,0
T000065,0
T000066,1
T000067,1
T000068,0
T000069,0
T000070,1
T000071,0
T000072,0
T000073,0
T000074,0
T000075,0
T000076,1
T000077,0
T000078,0
T000079,0
T000080,0
T000081,0
T000082,1
T000083,0
T000084,0
T000085,1
T000086,0
T000087,0
T000088,0
T000089,0
T000090,0
T000091,0
T000092,1
T000093,1
T000094,0
T000095,0
T000096,0
T000097,0
T000098,0
T000099,1
T000100,0
T000101,0
T000102,0
T000103,0
T000104,0
T000105,0
T000106,0
T000107,0
T000108,0
T000109,0
T000110,0
T000111,0
T000112,0
T000113,0
T000114,0
T000115,0
T000116,0
T000117,0
T000118,1
T000119,1
T000120,0
T000121,0
T000122,0
T000123,0
T000124,0
T000125,0
T000126,0
T000127,1
T000128,0
T000129,0
T000130,0
T000131,0
T000132,1
T000133,0
T000134,0
T000135,0
T000136,0
T000137,0
T000138,1
T000139,0
T000140,0
T000141,1
T000142,1
T000143,0
T000144,1
T000145,0
T000146,0
T000147,0
T000148,0
T000149,0
T000150,0
T000151,1
T000152,1
T000153,0
T000154,1
T000155,1
T000156,0
T000157,0
T000158,0
T000159,1
T000160,0
T000161,0
T000162,0
T000163,0
T000164,1
T000165,0
T000166,0
T000167,1
T000168,1
T000169,0
T000170,0
T000171,0
T000172,1
T000173,0
T000174,0
T000175,0
T000176,1
T000177,1
T000178,0
T000179,0
T000180,0
T000181,0
T000182,1
T000183,1
T000184,0
T000185,0
T000186,0
T000187,0
T000188,0
T000189,0
T000190,0
T000191,0
T000192,0
T000193,1
T000194,0
T000195,0
T000196,0
T000197,0
T000198,0
T000199,1
T000200,0
T000201,0
T000202,1
T000203,0
T000204,0
T000205,0
T000206,0
T000207,0
T000208,1
T000209,0
T000210,0
T000211,1
T000212,0
T000213,0
T000214,0
T000215,0
T000216,0
T000217,0
T000218,0
T000219,1
T000220,0
T000221,1
T000222,0
T000223,0
T000224,0
T000225,1
T000226,0
T000227,0
T000228,0
T000229,0
T000230,0
T000231,0
T000232,0
T000233,0
T000234,0
T000235,0
T000236,0
T000237,0
T000238,0
T000239,0
T000240,1
T000241,0
T000242,1
T000243,0
T000244,0
T000245,1
T000246,0
T000247,0
T000248,1
T000249,0
T000250,0
T000251,0
T000252,0
T000253,1
T000254,0
T000255,1
T000256,0
T000257,1
T000258,0
T000259,0
T000260,1
T000261,1
T000262,0
T000263,0
T000264,0
T000265,0
T000266,0
T000267,0
T000268,0
T000269,0
T000270,0
T000271,1
T000272,1
T000273,1
T000274,0
T000275,0
T000276,1
T000277,0
T000278,0
T000279,1
T000280,0
T000281,1
T000282,0
T000283,0
T000284,0
T000285,0
T000286,0
T000287,0
T000288,0
T000289,0
T000290,0
T000291,0
T000292,0
T000293,0
T000294,1
T000295,0
T000296,0
T000297,0
T000298,0
T000299,0
T000300,0
T000301,0
T000302,0
T000303,0
T000304,0
T000305,1
T000306,0
T000307,0
T000308,0
T000309,0
T000310,0
T000311,1
T000312,0
T000313,0
T000314,0
T000315,0
T000316,0
T000317,0
T000318,0
T000319,0
T000320,0
T000321,0
T000322,0
T000323,0
T000324,0
T000325,1
T000326,0
T000327,0
T000328,0
T000329,0
T000330,0
T000331,0
T000332,0
T000333,1
T000334,0
T000335,0
T000336,0
T000337,1
T000338,0
T000339,0
T000340,1
T000341,0
T000342,0
T000343,1
T000344,0
T000345,0
T000346,0
T000347,0
T000348,0
T000349,0
T000350,1
T000351,1
T000352,0
T000353,0
T000354,1
T000355,0
T000356,0
T000357,0
T000358,0
T000359,0
T000360,0
T000361,0
T000362,1
T000363,1
T000364,0
T000365,0
T000366,0
T000367,0
T000368,0
T000369,0
T000370,1
T000371,1
T000372,0
T000373,1
T000374,0
T000375,0
T000376,0
T000377,0
T000378,0
T000379,1
T000380,0
T000381,1
T000382,0
T000383,0
T000384,0
T000385,0
T000386,0
T000387,0
T000388,0
T000389,0
T000390,0
T000391,0
T000392,0
T000393,1
T000394,0
T000395,1
T000396,0
T000397,0
T000398,0
T000399,1
T000400,1
T000401,1
T000402,1
T000403,0
T000404,0
T000405,1
T000406,1
T000407,0
T000408,0
T000409,0
T000410,0
T000411,0
T000412,0
T000413,0
T000414,1
T000415,0
T000416,0
T000417,1
T000418,1
T000419,0
T000420,0
T000421,1
T000422,0
T000423,0
T000424,0
T000425,0
T000426,0
T000427,1
T000428,0
T000429,0
T000430,0
T000431,0
T000432,0
T000433,0
T000434,0
T000435,0
T000436,1
T000437,0
T000438,0
T000439,0
T000440,0
T000441,1
T000442,0
T000443,0
T000444,1
T000445,0
T000446,0
T000447,0
T000448,0
T000449,0
T000450,0
T000451,1
T000452,0
T000453,0
T000454,0
T000455,1
T000456,0
T000457,0
T000458,0
T000459,0
T000460,0
T000461,0
T000462,0
T000463,1
T000464,0
T000465,1
T000466,0
T000467,1
T000468,1
T000469,1
T000470,1
T000471,0
T000472,1
T000473,0
T000474,1
T000475,0
T000476,0
T000477,0
T000478,0
T000479,0
T000480,0
T000481,0
T000482,0
T000483,0
T000484,0
T000485,1
T000486,0
T000487,1
T000488,0
T000489,1
T000490,0
T000491,1
T000492,0
T000493,1
T000494,0
T000495,0
T000496,0
T000497,0
T000498,0
T000499,1
T000500,0
T000501,0
T000502,1
T000503,0
T000504,0
T000505,0
T000506,0
T000507,0
T000508,0
T000509,0
T000510,0
T000511,0
T000512,1
T000513,0
T000514,0
T000515,0
T000516,0
T000517,1
T000518,0
T000519,0
T000520,0
T000521,1
T000522,0
T000523,0
T000524,1
T000525,0
T000526,0
T000527,0
T000528,0
T000529,0
T000530,0
T000531,1
T000532,0
T000533,0
T000534,0
T000535,0
T000536,0
T000537,0
T000538,0
T000539,0
T000540,0
T000541,1
T000542,1
T000543,0
T000544,0
T000545,0
T000546,0
T000547,0
T000548,0
T000549,1
T000550,0
T000551,0
T000552,0
T000553,0
T000554,0
T000555,0
T000556,0
T000557,0
T000558,1
T000559,0
T000560,0
T000561,0
T000562,1
T000563,0
T000564,1
T000565,0
T000566,0
T000567,0
T000568,0
T000569,0
T000570,0
T000571,0
T000572,1
T000573,0
T000574,1
T000575,0
T000576,0
T000577,0
T000578,0
T000579,0
T000580,0
T000581,0
T000582,0
T000583,0
T000584,0
T000585,0
T000586,0
T000587,0
T000588,0
T000589,0
T000590,0
T000591,0
T000592,0
T000593,0
T000594,0
T000595,0
T000596,1
T000597,0
T000598,0
T000599,0
T000600,0
T000601,0
T000602,0
T000603,0
T000604,0
T000605,0
T000606,0
T000607,0
T000608,1
T000609,0
T000610,0
T000611,1
T000612,0
T000613,0
T000614,0
T000615,0
T000616,0
T000617,0
T000618,0
T000619,0
T000620,0
T000621,1
T000622,0
T000623,0
T000624,0
T000625,0
T000626,0
T000627,0
T000628,0
T000629,1
T000630,0
T000631,0
T000632,0
T000633,1
T000634,0
T000635,0
T000636,0
T000637,0
T000638,0
T000639,1
T000640,0
T000641,1
T000642,0
T000643,0
T000644,0
T000645,0
T000646,0
T000647,0
T000648,0
T000649,0
T000650,0
T000651,0
T000652,0
T000653,1
T000654,1
T000655,0
T000656,0
T000657,0
T000658,0
T000659,1
T000660,1
T000661,0
T000662,0
T000663,0
T000664,0
T000665,0
T000666,0
T000667,0
T000668,0
T000669,0
T000670,0
T000671,1
T000672,0
T000673,1
T000674,0
T000675,0
T000676,0
T000677,0
T000678,0
T000679,0
T000680,1
T000681,1
T000682,1
T000683,1
T000684,0
T000685,0
T000686,0
T000687,0
T000688,0
T000689,0
T000690,0
T000691,0
T000692,0
T000693,0
T000694,0
T000695,1
T000696,0
T000697,0
T000698,0
T000699,0
T000700,0
T000701,0
T000702,0
T000703,0
T000704,1
T000705,0
T000706,0
T000707,0
T000708,0
T000709,0
T000710,0
T000711,1
T000712,1
T000713,0
T000714,1
T000715,1
T000716,0
T000717,0
T000718,0
T000719,0
T000720,0
T000721,0
T000722,0
T000723,0
T000724,0
T000725,0
T000726,0
T000727,0
T000728,0
T000729,0
T000730,0
T000731,0
T000732,0
T000733,0
T000734,1
T000735,0
T000736,0
T000737,1
T000738,0
T000739,0
T000740,0
T000741,1
T000742,0
T000743,0
T000744,1
T000745,0
T000746,0
T000747,0
T000748,1
T000749,1
T000750,1
T000751,1
T000752,0
T000753,0
T000754,1
T000755,0
T000756,0
T000757,0
T000758,0
T000759,0
T000760,0
T000761,0
T000762,0
T000763,0
T000764,1
T000765,1
T000766,0
T000767,0
T000768,0
T000769,1
T000770,0
T000771,0
T000772,0
T000773,0
T000774,0
T000775,1
T000776,0
T000777,0
T000778,1
T000779,0
T000780,0
T000781,0
T000782,0
T000783,0
T000784,0
T000785,0
T000786,1
T000787,0
T000788,1
T000789,0
T000790,1
T000791,0
T000792,0
T000793,1
T000794,1
T000795,0
T000796,0
T000797,0
T000798,0
T000799,0
T000800,0
T000801,0
T000802,0
T000803,0
T000804,0
T000805,1
T000806,0
T000807,0
T000808,1
T000809,0
T000810,0
T000811,0
T000812,0
T000813,0
T000814,1
T000815,1
T000816,0
T000817,0
T000818,0
T000819,0
T000820,1
T000821,0
T000822,1
T000823,0
T000824,0
T000825,0
T000826,0
T000827,0
T000828,0
T000829,1
T000830,0
T000831,0
T000832,0
T000833,0
T000834,0
T000835,1
T000836,0
T000837,0
T000838,0
T000839,0
T000840,0
T000841,0
T000842,0
T000843,0
T000844,0
T000845,0
T000846,0
T000847,0
T000848,0
T000849,1
T000850,1
T000851,0
T000852,0
T000853,0
T000854,0
T000855,0
T000856,0
T000857,0
T000858,0
T000859,0
T000860,0
T000861,0
T000862,0
T000863,0
T000864,0
T000865,0
T000866,0
T000867,0
T000868,0
T000869,0
T000870,0
T000871,0
