transaction_id,account_id,transaction_amount,merchant_category,transaction_type,location,timestamp,fraud_flag,customer_id,account_type,balance,account_open_date,age,occupation,annual_income,city,hour_of_day,is_night_transaction,is_weekend,transaction_frequency,avg_spending,std_spending,amount_zscore,location_deviation,is_high_risk_merchant,amount_to_balance_ratio,txn_to_monthly_income_ratio,account_age_days
T000001,A00267,83562,Jewelry,Online,Mumbai,2023-01-04 10:00:00,0,C0267,Salary,462595,2020-10-11,46,Doctor,1138761,Delhi,10,0,0,17,86573.23529411765,34631.803899251,-0.08694999841411022,1,1,0.18063710019109547,0.8805570264524338,815
T000002,A00064,139505,Electronics,Debit,Mumbai,2023-02-11 18:00:00,1,C0064,Salary,51851,2022-08-15,31,Doctor,1297083,Mumbai,18,0,1,18,91252.16666666667,42605.40822788471,1.1325518365002414,0,0,2.6904458844403303,1.2906344466776605,180
T000003,A00494,80096,Jewelry,Online,Coimbatore,2023-12-28 08:00:00,0,C0494,Savings,294530,2019-04-22,31,Salesperson,1340993,Coimbatore,8,0,0,17,82924.05882352941,50665.997323736,-0.055817687856003655,0,1,0.2719442096078172,0.7167464707123751,1711
T000004,A00050,65725,Groceries,UPI,Jaipur,2023-11-05 04:00:00,0,C0050,Savings,49936,2020-10-06,56,Businessman,444990,Bangalore,4,1,1,14,59857.857142857145,40226.13993385423,0.145853986159012,1,0,1.3161583595330115,1.7723993797613429,1125
T000005,A00469,20890,Healthcare,Credit,Hyderabad,2023-05-16 16:00:00,0,C0469,Current,448031,2019-11-04,64,Manager,636676,Hyderabad,16,0,0,17,75088.70588235294,43473.09849746839,-1.2467182638364078,0,0,0.04662613384758232,0.3937324479012873,1289
T000006,A00255,136662,Travel,Credit,Kolkata,2023-05-16 04:00:00,0,C0255,Current,423443,2020-02-14,24,Engineer,391751,Kolkata,4,1,0,19,57692.94736842105,45646.6741413188,1.7300067117068918,0,0,0.3227392524159039,4.186189697026938,1187
T000007,A00149,48155,Education,Online,Delhi,2023-09-08 07:00:00,0,C0149,Current,58352,2020-08-11,23,Engineer,651005,Delhi,7,0,0,23,68388.56521739131,37559.55547324577,-0.5387061950667649,0,0,0.8252360632700975,0.8876429520510596,1123
T000008,A00325,108859,Clothing,Credit,Delhi,2023-01-22 18:00:00,0,C0325,Salary,48541,2021-11-19,24,Accountant,1345482,Ahmedabad,18,0,1,26,72908.65384615384,44439.6613649945,0.8089698492204207,1,0,2.2425734415557663,0.9708847832969895,429
T000009,A00304,118494,Jewelry,Credit,Kolkata,2023-03-12 14:00:00,0,C0304,Salary,448624,2018-05-11,26,Manager,1317433,Kolkata,14,0,1,17,74921.64705882352,46291.655557374994,0.9412571751116537,0,1,0.2641270548899415,1.079317126563552,1766
T000010,A00276,98263,Healthcare,Credit,Coimbatore,2023-04-04 20:00:00,1,C0276,Current,181072,2020-09-16,62,Businessman,1523975,Bangalore,20,0,0,24,76980.91666666667,40761.82597343261,0.5221081937596314,1,0,0.5426706356000066,0.7737371019865811,930
T000011,A00357,148765,Groceries,UPI,Ahmedabad,2023-07-21 13:00:00,0,C0357,Savings,266486,2021-04-14,22,Accountant,888365,Jaipur,13,0,0,26,83504.69230769231,46592.77767617572,1.400652868259392,1,0,0.5582448674794643,2.0095118560501595,828
T000012,A00451,36092,Gambling,Online,Kolkata,2023-11-02 06:00:00,0,C0451,Salary,273787,2020-02-02,23,Doctor,335954,Kolkata,6,0,0,25,77086.28,36507.055775242494,-1.122913889643233,0,1,0.131824623431268,1.2891764944010191,1369
T000013,A00172,37724,Electronics,Credit,Chennai,2023-12-19 21:00:00,0,C0172,Current,224861,2021-03-13,54,Teacher,1750976,Chennai,21,0,0,13,67205.07692307692,45878.16920835286,-0.6425948862342444,0,0,0.1677651181613612,0.2585346686647904,1011
T000014,A00417,89813,Healthcare,Credit,Bangalore,2023-01-07 03:00:00,0,C0417,Savings,14596,2019-07-12,37,Lawyer,554726,Bangalore,3,1,1,22,73305.36363636363,34890.332205143604,0.4731292401166297,0,0,6.152839624580393,1.9428618813612488,1275
T000015,A00201,91571,Gambling,Credit,Pune,2023-12-06 12:00:00,1,C0201,Salary,152603,2022-10-16,32,Manager,875644,Ahmedabad,12,0,0,24,74541.66666666667,36601.975533125755,0.4652572186416914,1,1,0.6000563550103536,1.2549072454102352,416
T000016,A00445,131320,Clothing,Debit,Delhi,2023-05-31 20:00:00,0,C0445,Current,74122,2020-09-06,22,Accountant,1790077,Bangalore,20,0,0,17,88415.11764705883,40838.75279511231,1.0505923765153804,1,0,1.7716498252903956,0.8803196733995241,997
T000017,A00393,146435,Restaurants,UPI,Coimbatore,2023-06-04 13:00:00,0,C0393,Current,483115,2018-08-15,38,Salesperson,1682978,Coimbatore,13,0,1,23,85128.17391304347,44439.01025067152,1.3795722663744545,0,0,0.3031052583644508,1.0441134702889758,1754
T000018,A00324,24549,Jewelry,Online,Mumbai,2023-06-30 17:00:00,0,C0324,Savings,194784,2021-11-01,54,Accountant,394270,Mumbai,17,0,0,23,68836.13043478261,43677.81306474234,-1.013950271940976,0,1,0.12603126524116334,0.7471732569051664,606
