transaction_id,account_id,transaction_amount,merchant_category,transaction_type,location,timestamp
T000001,A00267,83562,Jewelry,Online,Mumbai,2023-01-04 10:00:00
T000002,A00064,139505,Electronics,Debit,Mumbai,2023-02-11 18:00:00
T000003,A00494,80096,Jewelry,Online,Coimbatore,2023-12-28 08:00:00
T000004,A00050,65725,Groceries,UPI,Jaipur,2023-11-05 04:00:00
T000005,A00469,20890,Healthcare,Credit,Hyderabad,2023-05-16 16:00:00
T000006,A00255,136662,Travel,Credit,Kolkata,2023-05-16 04:00:00
T000007,A00149,48155,Education,Online,Delhi,2023-09-08 07:00:00
T000008,A00325,108859,Clothing,Credit,Delhi,2023-01-22 18:00:00
T000009,A00304,118494,Jewelry,Credit,Kolkata,2023-03-12 14:00:00
T000010,A00276,98263,Healthcare,Credit,Coimbatore,2023-04-04 20:00:00
T000011,A00357,148765,Groceries,UPI,Ahmedabad,2023-07-21 13:00:00
T000012,A00451,36092,Gambling,Online,Kolkata,2023-11-02 06:00:00
T000013,A00172,37724,Electronics,Credit,Chennai,2023-12-19 21:00:00
T000014,A00417,89813,Healthcare,Credit,Bangalore,2023-01-07 03:00:00
T000015,A00201,91571,Gambling,Credit,Pune,2023-12-06 12:00:00
T000016,A00445,131320,Clothing,Debit,Delhi,2023-05-31 20:00:00
T000017,A00393,146435,Restaurants,UPI,Coimbatore,2023-06-04 13:00:00
T000018,A00324,24549,Jewelry,Online,Mumbai,2023-06-30 17:00:00
T000019,A00035,130770,Education,Credit,Delhi,2023-08-01 06:00:00
T000020,A00465,127790,Electronics,UPI,Mumbai,2023-11-08 08:00:00
T000021,A00482,97238,Education,Credit,Coimbatore,2023-05-21 03:00:00
T000022,A00216,116505,Gambling,Online,Jaipur,2023-05-06 23:00:00
T000023,A00480,42414,Electronics,Online,Hyderabad,2023-03-17 17:00:00
T000024,A00065,144710,Healthcare,Debit,Bangalore,2023-01-29 11:00:00
T000025,A00008,67999,Restaurants,Debit,Kolkata,2023-08-18 11:00:00
T000026,A00301,27608,Healthcare,Debit,Chennai,2023-10-08 11:00:00
T000027,A00343,68743,Jewelry,Debit,Ahmedabad,2023-05-02 06:00:00
T000028,A00431,136800,Jewelry,Credit,Chennai,2023-03-26 01:00:00
T000029,A00424,116289,Jewelry,UPI,Kolkata,2023-06-25 23:00:00
T000030,A00332,41509,Electronics,Credit,Hyderabad,2023-04-02 00:00:00
T000031,A00438,15280,Healthcare,Debit,Coimbatore,2023-02-26 13:00:00
T000032,A00076,143549,Electronics,Debit,Hyderabad,2023-10-06 19:00:00
T000033,A00174,43648,Clothing,Credit,Hyderabad,2023-09-30 03:00:00
T000034,A00047,127251,Jewelry,Credit,Coimbatore,2023-07-14 10:00:00
T000035,A00015,124423,Jewelry,UPI,Ahmedabad,2023-11-05 05:00:00
T000036,A00361,55103,Jewelry,UPI,Chennai,2023-04-13 20:00:00
T000037,A00147,20419,Restaurants,Online,Delhi,2023-10-31 19:00:00
T000038,A00026,114737,Travel,UPI,Hyderabad,2023-10-30 07:00:00
T000039,A00308,23314,Jewelry,UPI,Coimbatore,2023-06-13 08:00:00
T000040,A00093,52961,Healthcare,Debit,Bangalore,2023-06-26 12:00:00
T000041,A00406,126222,Clothing,Debit,Delhi,2023-03-22 19:00:00
T000042,A00232,96749,Gambling,Online,Mumbai,2023-06-10 16:00:00
T000043,A00021,49755,Education,Online,Jaipur,2023-01-03 02:00:00
T000044,A00307,119839,Travel,UPI,Bangalore,2023-10-25 02:00:00
T000045,A00038,101501,Restaurants,UPI,Pune,2023-02-26 16:00:00
T000046,A00276,111992,Education,Online,Pune,2023-10-11 13:00:00
T000047,A00157,9757,Restaurants,Online,Ahmedabad,2023-12-23 13:00:00
T000048,A00179,135692,Clothing,Debit,Bangalore,2023-09-09 06:00:00
T000049,A00132,116685,Jewelry,Online,Jaipur,2023-05-07 21:00:00
T000050,A00311,29677,Travel,Debit,Delhi,2023-01-11 17:00:00
T000051,A00455,30658,Groceries,Debit,Pune,2023-01-02 20:00:00
T000052,A00348,107246,Healthcare,Online,Delhi,2023-12-19 12:00:00
T000053,A00028,132382,Groceries,Online,Coimbatore,2023-02-25 14:00:00
T000054,A00260,63907,Education,UPI,Kolkata,2023-01-28 23:00:00
T000055,A00406,115156,Groceries,UPI,Delhi,2023-10-19 16:00:00
T000056,A00076,98335,Restaurants,Debit,Delhi,2023-06-01 14:00:00
T000057,A00429,2943,Restaurants,Debit,Chennai,2023-09-11 13:00:00
T000058,A00067,19934,Education,Online,Chennai,2023-01-10 18:00:00
T000059,A00342,93363,Groceries,Credit,Delhi,2023-10-12 18:00:00
T000060,A00492,110950,Education,Credit,Bangalore,2023-05-14 15:00:00
T000061,A00194,83164,Restaurants,Online,Coimbatore,2023-08-20 20:00:00
T000062,A00472,52378,Jewelry,Debit,Chennai,2023-04-11 00:00:00
T000063,A00162,40528,Education,Debit,Pune,2023-08-01 01:00:00
T000064,A00347,65653,Jewelry,Credit,Ahmedabad,2023-11-11 15:00:00
T000065,A00439,112024,Electronics,UPI,Pune,2023-07-28 13:00:00
T000066,A00361,71635,Gambling,Debit,Pune,2023-11-09 02:00:00
T000067,A00257,123925,Gambling,Online,Coimbatore,2023-11-19 12:00:00
T000068,A00072,147823,Clothing,Debit,Pune,2023-12-26 15:00:00
T000069,A00087,33302,Restaurants,Debit,Pune,2023-08-04 22:00:00
T000070,A00422,39308,Gambling,UPI,Kolkata,2023-01-28 02:00:00
T000071,A00262,38905,Gambling,Credit,Kolkata,2023-01-02 09:00:00
